Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF311408,SF311411,SF311412,SF311413,SF311414,SF311415,SF311416,SF311418,SF311420,SF311421,SF311422,SF311423,SF311424,SF311425,SF311426,SF311427,SF311428,SF311429,SF311430,SF311431,SF311432,SF311433,SF311435,SF311436,SF311437,SF311438,SF311440,SF311441,SF311442,SF311443,SF311444,SF311445,SF311446,SF311447,SF311448,SF311449,SF311450,SF311451,SF311452,SF311453
01/10/2010,1581896027,781780243,656069069,125711174,270566899,269268411,1298488,4294427496,1055356565,990929545.6,955871899.6,35057646,64427019.24,18345354.85,18345354.85,N/E,46081664.39,947914229.4,709260675,707857115,1403560,4805584684,415885986.7,1013516.1,94257684.86,5471975546,13906032,13293919,612113,35482698,19115210,16367488,7942231.48,606979675.6,606459755.6,0,519920,2080225,2080225,0
01/11/2010,1627355714,815219336.8,692869212.8,122350124,273735721,272186236,1549485,4297482581,1044301105,979710950,946352700,33358250,64590154.62,18378250.44,18378250.44,N/E,46211904.18,943272622.1,682553140,680663929,1889211,4734208429,345154606.9,1022924.99,90548316.04,5414738054,15197878,14165423,1032455,36398306,19243299,17155007,7754205.51,619589131.1,618915911.1,0,673220,1590105,1590105,0
01/12/2010,1831591445,920839635.5,792705383.5,128134252,304403921,302840657,1563264,4442009702,1054836448,989141804.6,953247545.6,35894259,65694643.2,18884824.51,18884824.51,N/E,46809818.69,934290784.6,621291025,619994449,1296576,4886367969,359574006.1,1022830.94,83761430.49,5618257399,41183039,40321499,861540,46409836,27478238,18931598,8218428.06,624792969.3,620809529.3,0,3983440,11285157,11285157,0
01/01/2011,1728772138,847346273.6,717107285.6,130238988,298779502,297326666,1452836,4431859293,1073919766,1007469719,972064184.6,35405534,66450047.7,19032943.38,17286839.38,1746104,47417104.32,925703552.4,703463837,701332340,2131497,4890732744,368964954.1,993026.18,88915470.92,5624044046,13924068,13120462,803606,26524527,10851406,15673121,8121871.41,670508565.8,669918175.8,0,590390,14232269,14232269,0
01/02/2011,1723622269,858129176.1,734495462.1,123633714,289389185,287944246,1444939,4441379304,1107431917,1041062960,1002956465,38106495,66368957.22,18695125.51,16887396.51,1807729,47673831.71,912839511.6,697485606,696559286,926320,4892512638,363125097.4,993038.18,87015199.35,5666671669,15261740,14510288,751452,19657553,1137035,18520518,8013180.29,717532026.4,717067346.4,0,464680,13694531,13694531,0
01/03/2011,1734597226,873868897.4,746080628.4,127788269,293589675,292243783,1345892,4444644901,1109004644,1041649331,1000875796,40773535,67355312.81,19321451.53,17399472.53,1921979,48033861.28,922616528,678426503,677479404,947099,4884753169,383929439.7,866136.42,55312690.91,5693473963,14267324,13499788,767536,31410980,6564066,24846914,8117075.62,749828149.4,749341639.4,0,486510,5097266,5097266,0
01/04/2011,1742346200,875756034,743673305,132082729,295340385,293839085,1501300,4476820114,1128364738,1061374859,1020991002,40383857,66989879.11,19381509.92,17513208.92,1868301,47608369.19,928987727.1,677121449,675891995,1229454,4928006940,367543941.5,866396.42,82776488.3,5795276082,17380561,16526645,853916,30255301,9474365,20780936,8732178.67,789172856.6,788608796.6,0,564060,21728245,16538455,5189790
01/05/2011,1725414015,861036092.3,737267694.3,123768398,293261573,291919921,1341652,4470236062,1125141830,1057227598,1015516672,41710926,67914232.53,19687972.52,17767069.52,1920903,48226260.01,947180190.6,672500027,671537328,962699,4948969396,405188284.2,0,73545049.71,5883959500,18289160,17862967,426193,32367015,11135739,21231276,8513356.3,855936031.1,855531821.1,0,404210,19884541,14663176,5221365
01/06/2011,1786661865,911448631.4,787012988.4,124435643,306236576,304651909,1584667,4527262924,1103763965,1034902314,989046936.5,45855378,68861650.6,20599017.07,18729380.07,1869637,48262633.53,963095186.1,673741908,673095935,645973,5021114023,412315434.7,0,81535663.89,5957182547,38657545,37868887,788658,49648357,32278390,17369967,8944980.47,807729699.3,806830639.3,0,899060,31087942,25678971,5408971
01/07/2011,1773596721,882223045,757864127,124358918,315435115,313564765,1870350,4565834755,1123507547,1054214614,1007826290,46388324,69292932.35,20752939.93,18860131.93,1892808,48539992.42,963982464.9,704748022,703474778,1273244,5055871255,410446607.8,0,79589892.24,6038803390,15086289,14274045,812244,23426015,8195976,15230039,8977853.94,905074891.9,901795751.9,0,3279140,30367085,25000568,5366517
